review,rating
"It was really a very good game. I enjoyed playing it. Thank you to the team that made this game, they did a great job as always.",5
I love it!,5
starting was fine but got worst after Sumeru I don't want to waste time watching those cutscenes.,2
Best game i have ever seen yet it give poor primo gems. Getting a 5stat take at least 2 months.,1
I was not able to play this game for long but its graphics are insane u should try (by the way I was not able to play this game because my mobile was not able to handle it ),5
Best game ever!!,5
I like it🥰🥰🥰🥰,5
Love it,5
"Nice game but not to play on mobile. It is not optimized. It takes too much space. I love the lore and the quests, but I'm not a big fan of the events. The co-op events are rare and too boring. There are some solo events very creative and fun, but sometimes it just seems they put some random fighting dg to fill the calendar. If you're more ending game, there are few ways to get gems making it hard to even try different banners if you are f2p.",3
Worst gacha ever,1
"To be honest when I played genshin fkr the first time it really I really enjoyed, but the amout of updates it got it really had my storage, deleting genshin was a good thing for me to do, but I recommend this game to people that have enough storage to fo through, or just download Honkai starrail",2
It's the best gacha game you will find,5
WHY IS KAZUHA NOT COMING TO ME 🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,5
❤,5
Downloaded the app again to give it another go... I don't regret much but what the heck was I thinking? This game has had zero improvement on playability and I don't mean that it doesn't work but you gotta pay to enjoy and even then you still end up with the short stick when you are unable to get powerful enough characters and equip... think I'll stick to WOTV FFBE over this rubbish where you potentially get what you work/pull for.,1
"It was great and all, but when I got into my friends ac to let me borrow it, my friend couldn't log into my account. Please fix it AND STOP MAKING THE LOADING SO SLOW😭😭😭💀💀💀🔥🔥🔥",4
I am lisa main,5
"Do NOT play this game I played this game for over a year and is now ar55, I am currently eternally trapped in farming artifacts with no escape, Don't play the game to avoid this fate",5
I lost my accounts bc I bought a new phone but I still like the game so muchhhhh,5
Not a bad game,4
"absolutely awful character writing, with some characters turning into fanservice material while others becoming gag reliefs so they wouldn't have to make meaningful events. whoever is writing the stories should be sternly talked to. the first patches were so good, but now i see characters i like getting sold to fanservice to get that sweet sweet cash from delusional players. i miss pre-inazuma genshin, when the writing made sense and lores weren't changed for fanservice.",1
The game is crashing alot!!! It's not even opening!!!,1
More primogems.,3
Pet me. Tell u something if I get during or Raiden or nahida I will love u genshine impact and I like the co-op mode and the cut sceens,5
"Not alot of endgame but they will add more in 4.7, the only gripe is some weapons will be near impossible to obtain like an Hp% sword. So far they only have had one 4 star hp sword and it was for a limited time. Also the game is super grindy you will have to log in every day maybe even twice if you want to progress. The artifact system is the worst you can go months without getting 2 EM ones from a set. So if you want to play nahida or kazuha your in pain. Takes one week to level up 1 artifact!!",5
Storage besar cam gampang. Buat cepat rosak fon je.,1
woi hoyo nopal gw mana🤬,5
miskin bansos ajg,3
I sacrificed my phones storage for this better be good,5
Game nya seru,5
"Hello dear hoyoverse Ltd. I almost agree with the rest of reviews recently posted, your start was wonderful, but it is really starting to feel too repetitive, the whole game overally Is mesmerizing and no doubt in that, but please put more areas quest to explore in your future updates including archon quest, it's been a while since your last archon quest updated, we players difinitely appreciate more opportunity to recieve primogems freely and please and please, set up free control bottom.🙏",4
ชอบเนื้อเรื่องมากเลย,5
Best,5
Its a really good game but its very hard to get primogems to get charctars,3
It's ok but it takes up too much storage so yeah the only thing I would have like ia that if it takes just a bit less of storage but overall it's pretty ok,4
اخس شركه في الارض امسحوا العبه ياحراميه,1
"Developing characters is very difficult, and my account is weak, but the game is wonderful, but the number of premojimes is small, and I cannot get many characters, and I only have three Five Stars. I hope you improve the number of premojimes, thank you.",5
🤩🤩,5
"This game has been good,this was the first RPG game ive ever played but I've been having technical issues,my phone has been like blacking out whenever I try to log in on genshin..😓can someone help me fix this issue?",4
Too many characters to control. Why not just make a game where you are to learn a skill rather than summoning another character?,5
Best,5
This game become bad and bad day by day I am playing now from a year aside from story which update like 1 time in 6 weeks there is nothing else to do what a complete dogshit game,1
ill give 5 star if you make me win my 50/50😔❤️,3
I really the game because its test my temper to the limits,5
ужасная игра я играю в нее третий год меня задрало пипец,1
"One of the best game ever. Characters, Theme Music, Story line, Quests, Animations, Events and so far. One of the Best choice I took. The storage is the tricky part but it is worth spending✨🥰❤️. Awaiting for the story to end.",5
"game was fun during its initial stage, lots to explore, characters to build, etc. After a while, the game is rather repetitive. Your team can easily kills anything in the overworld. Abbyss is the place to test out your build. to summarize, basically there is not much incentive to play after you have done everything, apart from testing out new characters, building them again for some time. I have been playing this game religiously for over a year (6months+ on phone, the rest on laptop)",4
I have played this game before but not on this device before after like a hour its was only 2% don't loadinging,1
"Pretty amazing, the games visuals are really good I love the main story quests and the character designs are amazing. Voices are soo pretty and the feeling you get after finally winning your gacha pulls is heaven fr",5
"i can't play it today, the game keep closing or having a bug. Please fix it",2
I keep being kicked and told there is a bug and that I need to update the game even though it's all updated.,4
So I tried playing but every time I try to join it says not enough space so 1 star,1
no controller supports 🤬 apple,1
🔵🫸🫷🔴 🫴 =====🟣,5
excellent,5
the best game ever!!!,5
"Devs are absolutely clueless about the size of this game. Look at their responses. I ended up downloading this on my new Alienware laptop and it is STILL TOO LARGE. It takes a half hour to download new content. I never play bc I don't want to wait that long. Review from a year ago, when I tried to download on mobile: 19 GB?!? Never finished downloading. That's ridiculous.",1
Bad,1
Graphics is Wonderful and I can explore freely,5
I love this game! It's so intresting and magical!!! You can do quest and different battles!! You can even fight those weird blob monsters. This game has boosted my confidence with defense and learning! I LOVE GENSHIN IMPACTTTTTTTT,5
Furina rerun when?,5
I love this ❤❤❤❤❤❤❤❤❤❤😘😘😘😘😘😘😛🐷🐷💒💒🎉🎉☺☺☺🍌🍞🐷🐷🎯😥😒❤😍😛🌄😔😜😃😘,5
"Thought the hype of this game would go down after a few years yet it remains strong with the constant updates, glad I was part of the early group to register for it when it came out. Keep up the good work Devs 👍",5
You'll be so much happier without this game in your life trust me,2
"It's not a game anymore. Unskippable cutscenes, lack of advance, disturbing gameplay mechanics annoy me. The game doesn't give me a change to improve my characters. Everything is so complicated, I play video games to have fun not to live. The game feels like a chore!",2
guys.... pls give me arlecchino at low pity..... i need her so bad......... pls give me tighnari...... then 1 pull arlecchino.....................,4
Game is good but they are not giving us character while we are wishing it takes more time,1
"Playing this game for a while then I stopped playing it because I get bored....now i miss the game, when I log back into it, my account started back to 0.... so I just totally uninstall it. what a waste.",1
Gameplay has needed a good update since 2.0. Pretty much still the same with a few variations.,3
Its great but it keeps having issues when I try to boot the game,4
Fun game but it sometimes takes long to load,4
The game wont start even if I got big storage it keeps saying I need more storage,1
واقعا خیلی خوبه ولی ای کاش حجمش کمتر بود اینطوری راحت تر میشد روی گوشی بازیش کرد شاید تا اخر گنشین نشه روی مبایل بازی کرد بهتره روی کامپیوتر باشه🥲,1
ممتع,5
I enjoy the lore and the art style it's an amazing open world game,5
"In the previous few days the game just crashes out of nowhere, and it's worse everyday, I reinstalled it and waited for few hours to download thinking it would help, but it's just worse. I would think it's bc of the phone even though it's recently bought, but I saw other people complaining about this issue and this needs to be fixed because I literally CANNOT play the game. As soon as I enter, it lags and crash immediately, you can't even do 1 single commission.",1
I just love this game so much,5
Love it,5
Best anime style mmorpg,5
I will give an one star because that consumes so much data if we don't have internet piz fix this😡😡😡 And 1 thing tell every anime game creator fix the data consumer ok?,1
"Great lore. But small rewards, gameplay is a open world,",5
Because it didn't let me play and it sayed that you needed to download something so I didn't like it!,1
Best game 💜,5
Its just too hard+ too complicated. (It is beautiful though),2
I haven't play this game before that i was totally crying i really really wanted to play this game,5
It's a fun adventure game like a mobile version of Zelda,5
Nvm about arlecchino pls give me neuvilette plspls 1 more neuvilette also tysm for the double neuvi in a 10 pull best game ever,5
"No need to explain, best game 🤝",5
Theare is a lot of traps in the game and some black people but only some so it's not a big deal🗿,1
bad,1
Super,5
"I really love this game and fully recommend it. But still,I have to say that farming and getting character should be easier, and I tried Honkai Star rail and it's easier (to farm,and getting characters). But this doesn't mean genshin isn't good (I love genshin's voices,characters, graphics, etc..)from my phone I can't get daily rewards (I hope in 4.6 I'll get them) so I hope hoyo's staff read this and somehow let me get daily rewards too cuz I want those primos (I'm too lazy to get primos).",5
"So,, So",3
Gila keren abiss dah bang!!,5
Can you add how much pitty please like 0/90 cuz I can't remember sometimes how much I used to get my 50/50 character.,4
W GAME,1
when 4.6 waiting for arlecchino,5
They won't listen to player outside of mainland china,1
"I just think that this game is a bit too much for my phone, the space needed is too much.",3
The fontaine story is bad. So many plotholes and inconsistences that they ruin some characters like Neuvillette.,2
Game is very good much better than I thought full game size 31 GB 👍,5
"Help, I'm AR 60. Save me from tnhis hell. Play at your own risk. You might spend money even if you say you won't.",5
❤️‍🩹,5
Bad game I didn't play at all,1
My game crashes literally ever 2 seconds,1
"Not bad,juat not bad",5
This game is time waisting,1
It's The Best Anime Rpg style game I've ever Played.,5
"This game is indeed really pretty, the landscape and characters, I have nothing bad about this review. It's a great game!",5
"not bad, I only gives 3 stars bcs of the size is large",3
Nice girls are sexy,5
𓀐𓂸,5
Stuck at Too many Requests pls try agad I already deleted and I don't use any cheats but I have I lot of Gmail that's all I can't even play it anymore its frustrating that I already downloaded the game resources 4 times and I have an average internet so it's slow and my patients is going down pls fix it Thanks Now I will try to download all the resources hopefully it is fix,1
"This is one of my Google accounts,I thought the problem in the game are just minors,I had to create another account through my other google account to start again because I can't finish some quest in my first account due to inconvenience of finishing quests please don't allow the game to open too many quest that can disrupt other quests specially in the Archon and Story Quests,there's also that one quest which I accidentally finished without navigating I can't finish anymore",4
Please fix its not working,5
Love it so far,5
need controller support for android,3
"I ALREADY GOT GANYUU, THANKSS. now gimme hu tao and wanderer",5
It's need more space,1
Nice game,5
It was good,5
I love this game,5
"It's a good game even though is has a lot of storage taken, Its kinda laggy and make the wishes cheap",4
"pls add a skip button, I'm getting tired of tapping all the time ☺️🌷🌷",5
It's just good,5
Gacha trash.,1
The game is ok . But it has no content no fun event s few rewords no goals to accomplish after 2 month of playing for 90% of ppl . Over all it not that great of the game storyline is a 6/10 combat is 7/10 events 2/10 no end game content or even mid game content,2
Very amazing but the shards are getting very much slowly,5
"lose qiqi pity 80, neuvilete pity 75 🤡.",1
"A lot of players, are just gotcha addicts. Its a gotcha yes but it's an RPG, know what rpg mean, dont ask for skip dialogue this and that. That's what the game is. You're all about meta, and just complaining on things you dont like. You're not even playing the game as it is. RPGs are known for their stories amd that's what made them great, play the game by reading and doing quest and READ. Other things in game are just bonuses, just play the game as it is.",5
"Everything else is nice but, you'll spend your lifetime but won't get a nice artifact set. Artifacts rng should be optimised, it makes it so annoying to go daily in the same domain and get nothing gud in return.",1
"I really love the characters, Game exploration, atmosphere and especially the story and Lore would love to play this all day, all night no sleep",5
It's cool! I want to make a request for the new update pls add this so in the game aether or lunime is killed by their sister or brother but turns out they are clones of the original two and the original aether or lunime are locked up and weren't killed like the other clones who tried to kill their original because of the memory fragment they got from the twins when created and only wanted revenge on those who destroyed their home.pls I like this game pls add this in the game I am very happy😊,5
Super graphics,5
Best exploring adventure and RPGs game I have ever played I give this a 5 because the game is very qualified,5
It's a 30gb space consumption what the heck is this game large files,1
Man f this I'll go play minecraft,1
Suppperrrr,5
Bad game,1
Pay2win game,1
It's a best game ever,5
I'm sick of seeing ads for this everywhere when I already have it downloaded. Have so much money into and cant even recover my account on my ps4,1
"I'm done with this game, not gonna burn any more money. Thank you for giving me 2 stupid swords instead of Neuvillette weapon. WAKE UP ! EVERYONE IS HATING THIS GAME !",1
Game js good but it freezes again and again. Please do something or provide me solution.,5
"I would recommend this game because of the graphics or characters, but there is a reason why it's not too good because I've tried to play with my friend but he said that the account he uses is asia.Mine is america, when we tried everything we can't multiplayer. So i recommend to put a cross server where people can play with different regions.. Thanks!!",4
"The graphics are great and storylines are important, but it takes a lonnngg time to load and then unfortunately undo s the progress you've made, also when I started the app, it approx took me 8AM before I went to eat DINNER AND THEN it loaded after like 6 at the evening. Bro. I absolutely hate this now",1
"Please give us a unique anniversary item or etc. that make this anniversary more memorable/special, and to make us feel more appreciated or proud from playing this game. A unique item that can make the players present at this timeline feel nostalgic whenever we look at it in the future, and that we can boast it to the upcoming new players in the future. Although It's fine if not. TY for creating an Amazing Game, Belated Happy Anniversary. Hope we get some fun new events ^^",1
Very good Game,5
mihoyo does not give us more wishes than honkai PLS MIHOYO GIVE US MORE PRIMOS,3
Like it I love it!!!!!,5
Very good game,5
It is more than amazing and I wish it could be more amazing,5
10/10 love it all <3 ♡♡,5
Nice,5
It is lagging,1
Sneaking around early game is too hard,1
It was loading it takes an hour but I like it,3
"It was fantastic at first but after 3 years of playing it, doing the same thing everyday. I got bored and gave up on this game and switched to HSR",3
I love this game 😍,5
Give tao year 3 lol but grinding is 💀. Update: Honkai impact 3d is better,3
"best game I've ever played since the time I ever tried a mobile game in any form,but please listen,the problem while in the fight,the obstacles will block our vision,sometimes don't even know if I'm hitting my target,trees grasses rocks anything can block our vision while fighting,it destroy our skills on a gameplay, please fix this,any other problems in the game are just minor,though this game is rooted in Paganism,the gameplay is action and problem solving type of quests,can increase brain IQ",5
great game but lack of updates 👍,4
"I've played this game for 100s of hours and I can say I only enjoyed a few hours of gameplay. The characters, graphics, art, and cutscenes in this game is beautiful. Collecting characters is a nightmare unless you have 60-120 dollars everytime you're interested in a character. It takes hours of bosses, grinding, and collecting just to build a single character so no you can't play with the character right after getting it. The quests are dreadful. 500 letters is not enough to explain how this gam",1
I like the game but you should be able to lower the world level more than once because as a new I just worked on my adventure rank and now I can't really beat anything. The game also needs a selling system like breath of the wild where can sell anything you're not going to use to get Mora easier because it a big part of the game as you need is level and ascend character plus you also need it to level up weapons and artifacts.,3
"This game has beautiful graphics, characters, scenes, and has great storyline too! I've been playing a lot since I joined like, two months ago maybe? I've been hooked ever since, this game is just so much fun! I only wish there was more to do in co-op mode.",5
"Okay, I think this is the most fun game ever, tbh but the only reason I gave it 3 stars I it uses a lot of space, which I had no choice but to uninstall it. My phone keeps on chasing it really hurt me to uninstall the game it's not even my own device , but I'm going to install it again very soon, so keep up with the work till then I will be using star hail.....(also a good game btw)",3
The game was good but so glitchy the first time I ever played it was on my computer and on my computer it was glitchy but on my phone it won't even load and I deleted apps to make your room,1
This is very good like ps5 kinda good,5
"Why resolution is very low on my phone? Even after seting it the highest possible in the settings, still it feels low. I play on Snapdragon 730 powered phone.",5
"Hell naw, stingiest gacha ever",1
It's graphic is best and story line best and for my opinion 5star game and I am playing this for second time from restart,5
"Genwhin Impact is the best , I absolutely love the game.",5
"This is a very nice game, most the quests were fun and challenging. I would recommend for friends",5
For version 4.6 could it have the data be in MB?.,1
"Before I start, I need to say, that I absolutely love(d) This game. I loved everything about it. And still, today was the day I deleted genshin impact. On April 24rd 2022 I believe was the day I downloaded genshin. I loved playing, I was addicted to the game but with time it just got too much. The events are super fun to play, the stories are a but tiring but also interesting. Building characters was one of my favourites. But everything has an end. Goodbye genshin, thanks for this fun time❤️🙏🏼",5
"Love this game beautiful, fun and very addictive, not to difficult to learn or understand been playing 78 days strong now and I already got several 5 stars, I would recommend anyone give this game a go. Reward system not to good its a pain to collect primos, updated at 542 days of playing",4
"Best mobile game on the market if your device can handle it and you play for the story. Otherwise, good luck on your pulls",5
I love it but when I play it kinda glitch,5
Gets stuck on a white screen after door after you've spent 30GB of download time. Thanks greatest waste of my time,1
A thirst trap. Not recommended. And above that if you play more than 30 minutes a day you will be FORCED to pay to play. Otherwise you can't visit dungeons and loot items you need,1
I like this game,5
Great game with good graphics and content but I can't progress quickly because of it's repetetive gameplay content. Even though I completed many missions they keep appearing everytime I pass through that area. I love this game but it would be more awesome if it can adopt gameplay like gta game in which the missions won't repeat and completely disappears and navigate to other missions.,3
Really nice game,5
Good,5
Good game 👍,5
Cuz i do,1
I can't believe I was missing out on this for a long time. That 30 GB storage loss was worth it.,5
Great game,5
Please add controller support on android. It is very uncomfortable to play and can't even customize touch controls.,1
Love it,5
"You know the game is good, but you better fired the person who is Managing the rewards in this game, Nobody loves him everyone wants more rewards like starrail! give us 30 limited banner wishes at every version like starrail!!! give us custom artifact maker like starrail!!!!! Also remove TCG! nobody loves that game! nobody plays that thing!! And give us a better and good free five star!!!! Aloy is garbage! She is like 3 star character! If you want to give a five star then giveGenshinCharacter!",1
It's a nice open world rpg game in anime theme with it's graphics in a high peak quality. I just wish that it's have an keyboard controller too for tablet users who use mouse and keyboard.,5
BaBa ramdev ne kaha ki puja karne se pahle ek kissa sunaya kisi nagar men,5
"Love the animation, graphics, design, story line..... ❤️❤️❤️❤️❤️❤️❤️❤️❤️",5
"Game is good tbh,hot characters. I think the rewards are very unfair much to hsr, if I were to be honest though Genshins' plot and storyline is better than Honkai Star Rail. Everything at Genshin impact literally takes over Honkai Star Rail,the thing is it's the rewards that don't take Genshin over Hsr. It's really unfair for Hoyoverse to give less rewards to the game that actually helped the company. Although at least Genshin has no racist character unlike some character Hsr named ""Sparke""...Ew",4
Pls make its size small and optimize it,2
"Absolutely in love with the fontaine archon quest and lore!! It's my favorite archon quest since finishing it and I enjoyed it thoroughly, there's things i'm still discovering in monstadt at AR 45 and still so much to do!! Thank you hoyoverse for the cat petting event!😼",5
"Can't retrieve my account, customer service is trash they don't care about hacked and scam account they only care is money",1
Kikir impact,1
"I think I can highly recommend this game if you're the sort of person who's not taken in by mobile pay to win predatory monetization schemes. All of that is here but there's a surprisingly good game here if you can resist that. Lots to explore, beautiful environments and decent story line -if a bit over written.",4
Game kikir,1
NICE GEME,4
Amazing game love it all people giving 1star should know that you are getting rewards even after not playing for 1 year .,1
"Hi mihoyo if you're reading this im rating it on my cellphone not on my ps4 cause i dont know how anyways back to topic, mihoyo can you pls give me yanfei on my roll cause when i roll 30 i get 2 barbar and 1 xingqiu and not a single yanfei appeared on my screen such a unlucky day it didn't give me it but how rare is yanfei actually is????",4
This game is so good and i love how the animation and the character styles!,5
"I am lost in it !! Beautiful experience, but do improve more!",5
The game is so good.In our country this game is not so popular but some people are play this game and all off them said that the game is so good.,5
Good game,5
It's a fun adventure,4
For me genshin impact is one of the best open world game that I played,5
Not f2p friendly,1
you can't play with your friends because your task is not completed please remove this process,1
"Too grindy, too time consuming doesn't even give that much rewards for your time. 1 hour grind for a half summon? Hell nah💀",1
Give more endgame content And GIVE MORE REWARDS FOR US!!!!!!!!,1
Wow nice game,5
I love this game,5
very beautiful game but his recourse are so slow to fix pls I request,5
GREAT GAME,5
What's wrong with this game? This game soooo selfish with giving mobile players 5 star characters. It's ridiculous i can't even level up the way i want to. As a good looking game your just gonna be TRAPPED in a world with monsters that are stronger than you.,2
I like the game so much But my phone couldn't handle the storage i wish that you could maybe just give us a right amount so That many people could download the app,4
"Now,I've been playing genshin for a while now, for about 3 weeks and 4 days.I have this idea in my mind and it kills me not to ask this to you. Why does characters with ya know, elements, cool elements in fact,but why do they get damaged by their own elements? Like, my point is why not make them immune to their own elements or just make the damage absorbed less critical if the enemy has the same element as the character?Don't hate me, i just want to express my idea good luck for your development",5
Noice 👍🏻,5
"My First review was (23 Sept 2022) and the second one was (11 Feb 2023), and now is (16 April 2024) overall was so good but collecting the good artifact, the talent material, and character exp material got a very little maybe upgrade the amount of how much we can get for level 55+?? But again everything was already good still ✨Recommended ✨",5
The game is very good because the game gets updated every month with new characters and features.The story is very good but after reaching end game it becomes a bet boring but it can be solved by doing story quest spiral abyss and etc..,5
Hoyo give me neuve pls. Advance birthday gift for me. I love this game so much. It's the only game I am playing. Hope I win neuve. Huhu. Up! I GOT NEUVE. THANK YOU SO MUCH!!!,5
"Great exploration, characters, and unskippable dialog. The third is a nitpick I can work around but prefer we can skip",5
"This game is nice although it's laggy on low end phones,Now that I have a better one I'm having the best experience. Keep the good work up!",5
The game takes more data to download. In nigeria here we don't free wifi so we use courier data to browse and download stuff,3
"The game is soo good the animations, stories i like it",5
"Game is alright at first, looks nice n all. Story is okay most of the time. however gameplay gets stale way too fast and grinding makes my brain rot. Wouldn't recommend for anyone who isn't a gambling addict and actually enjoys unique forms of fun.",2
I love it so much 😍,5
"hadeh ni game makin gajelas dari dulu gitu2 aja gaada perkembangan, udah mah semua serba gacha bukan char yang gw maksud tapi artefak ni game bukan mekaniknya yang susah tapi build charnya itu ga pasti statnya gacha, udah gitu pingnya tinggi mulu, padahal wifi gw dipake main game lain enak2 aja mentang2 masih dapet banyak pendapatan dan gaada saingan kualitasnya ga diperbaiki hadeh hoyopers hoyopers",1
"plss, gimme c3 wanderer and his weapon 😔🕯️💙",5
"Its a great open world, love how they managed a full size console game squeezed into a mobile",5
Right I have enough storage on my device and every time I go on the game its saying I dont have enough storage to install the game!!!! This needs sorting,2
Best graphics game in mobile,5
"This the one of the best rpg game I've ever played, I like the scenery,story and game mechanic, play it for a long time now and I wish genshin mobile can support keyboard and mice like other games (I'm sorry for my English)",5
Too demanding,4
It's just masterpiece. Thank you for all developers and workers.,5
"Used to play a LOT in my PS4, but some time ago, when furina's banner came out and I got her, I noticed how boring, tiring, and annoying it is to develop characters in this game, and after doing it over and over with all of my other characters I decided to quit, I finally uninstalled and said ""no more"". Gachas stole my sanity (with genshin I was playing 3 gachas at the same time which means HELL).",2
"Amzing game, have a really good character design and story line, i would recommend it to my friend 👍",5
"If your a amateur in open world gaming.then this is Best game in my opinion. Excellent story,graphics and play style",5
Njcee,5
"The best game I know. The story, gameplay everything is just perfect. Hoyo listens every players problems. I love it!",5
I like This app bcuz it's fun,5
It is advancure game and it has many quest and weapon and character etc this game is very fun but you should low the gb required,5
The best game made by Hoyo,5
As I said hoyo I'll give a a one star if you don't give me a new character 🙃,1
"Ignore the gacha part, this game considers top one open world game in mobile.",3
Best game ever made,5
It's cool but it's 33gb...,3
Cool Lore and Gameplay,5
I played this because of the hate. I DONT GET IT! ITS GOOD! THE ONLY PROBLEM IS THAT IM BROKE BUT IDC!,5
"My genshin App keeps stopping, why?",1
Love this game,5
Perfect.,5
"Overall semuanya bagus, animasi, story, grafik, dsb. Walaupun emang bener bener ngabisin memori tapi ni game emg bener bener seru, bisa dapet temen, ketemu husbu/waifu kalian, dan bisa menikmati beberapa pemandangan yang cakep di game ini, cuman untuk yg hapenya kentang kayaknya kurang cocok, hp kalian bakal lebih cepet panas dan rusak, walaupun emang ada versi cloud nya, itu butuh makan waktu cukup lama, kalo main game ini mending nikmatin storynya aja si, segitu aja, makasi kazuha nya🙏",5
Good,5
It's a good game,5
"its good i download this game on all devices, buuuuuuttt i got a problem i download resourses on this game, and it takes 1 gb per minute when i download and when it was 60% it said insuffisient storage but i was confused because my device has alot of storage so im not sure if its my device problem or genshin problem im not blaming genshin or anything would recommend if you have 60 gb free.",5
I've been playing this for maybe 7 or 6 months and it was so nice playing this.,5
Its a great game overall but the tartaglia boss fight keeps on glitching and bugging to the point the boss fight dorsnt even load,3
I'm in love with this game. So casual and enjoyable!! Would love to recommend this game to everyone!! ✨,5
Nice game,5
Yeah,5
this is so trash i dont even get 5 star i have no five star the game only gives 5 stars to the streamer or youtuber that plaus genshin and i am on ar 56 and i dont even have a single 5 star ! trash,1
"Very detailed, and surprisingly fun",5
Great Game and stories,4
ابو المرض الي باللعبه يشيخ,1
"The later in the game you get, the more there is to do. Old players will complain about not enough to do, however starting now would give you endless amounts of stuff to do, places to see, people to meet, it's a wonderful game. Especially if you like open world. However it's huge in storage on mobile.",4
Not going to lie it's more funner than honka star rail cuz I just needed to do taxes in the outside world and the other one it just needed to do so much taxes in the space,4
Dev don't care about android player controller support is not available is a shame for a game like this in 2024. wuthering wave has it at the release people will quit genshin me to.,1
"Toxic community, genshin fans bullied voice actor due to her character being bad for gameplay wise.",1
"Invalidating characters and mechanics: Zhongli's shield becomming meta for one patch, just to release the new shield bypassing poison. How many enemies are even affected by Venti? There should be studies comparing statistics on mental health of the players before and after playing this. The primary revenue generation method is fomo. It is impossible to get everything in the game as much of the content and story has been stripped and removed as events come and go.",1
Good,5
Good visuql good storyline but bad at the downloaing,5
Tiztaztoz,1
This best genshin impact game ever,5
this is the best game ay play,5
This game is awesome it is the beat try it but it took me ages to get it starting it was not in vain play now,5
Love it,5
Fun:D,5
Getting too big for phones..,2
Can't wait for arlecchino,5
❤️💯👍😊 please fix this problem I can't get into the game now after update,5
Grindy game that's all I remember.,1
Nice game,5
"Amazing game but today the game keeps crashing when I open it because of some sort of bug that my phone can't remove. I've trying to open it but I can't, HOYOVERSE please help",5
that's a good game tbh. but this game is just so addictive which kinda affects my studies and stuffs like aaa i just want to keep playing this song but also want to have a normal life but you can be a normal person after playing this game so basically this game is too good and i would like to keep playing this😭,3
Super gaming experience,5
Council quality game for Android thanks this game for launch Android,5
Best game,5
Very good and this game have so much detail and so beautiful places and their skin is better and this game has so much character in school detail and this game has any we have to ki language,5
"It's a fun game and all, but every time I play it on mobile, it keeps crashing and it gets annoying, plus the storage is too much to download, even on laptop. Maybe update it to where it'll stop crashing on mobile and not add in a lot of GB.",4
What a fantastic game.Graphics are superb.For this game i will give 100 stars rating.,5
SO MARVELOUS!!!!!! 😊😍😊 My kids love it so much I love it too and it looks fun 😁,5
Stinky ahh community 🤮🤮🤢,1
x86 support why have laptop that runs all games well with android os but my fav game is not supported by x86 andord please give update,2
"хрючево галимое. если это не приоритетный проект, так хватит делать обновы дальше. всем спасибо за внимание, я обратно в хср",5
Op,5
I love it,5
Super cool,5
where is free skin mihoyo,1
I want kazuha plsssss🙏🙏,5
This game really good. I have been playing for 2 Years. But the problem is there isn't any support for gamepad controller. I hope they will add this option too. Overall this game is really good worth playing.,4
"I would have given a rating based on gameplay, but it wouldn't let me register. [Hint: if you send a code to email, allow the user to access their email without disabling the registration page.]",1
burik,1
Best open world mobile game!!,5
No new content repeating events and boring quest which are too lengthy to complete with little rewards too much grinding,1
I like this game♥️,5
❤️❤️❤️❤️,5
It died tho a lot of people play it,1
It's a good game. But they should add more things like a skip button for dialogs :(,5
Please bring the 120fps support for Android. I am getting only 60fps in game. My mobile can support 120fps.,4
Not enough rewards compared to another games......,1
The greatest of all time RPG,5
Yes its the best game,5
i love everything about the game make me addicted to gambling 🤣,4
The app is amazing but their customer service is not. I've written them an email in December about my hacked account and I still didn't receive a reply back.,2
I love this game but to bad i can't add friend in asia server my friend in asia server,4
I like this game and the graphic is so beautiful,5
First of all the story line is not bad and the graphics is pretty good the game has a smooth feeling to it and offers great exploration since it's open world and I like the puzzles you find around the world and each area has it's own mechanisms and features that differs from the others and if I had to point what I like the most about it the beautiful world and puzzles there are to uncover the explanation is the best factor of this game and I love it.,4
"Fun ""pls give me free rolls kinda broke:///""",5
I really like the gameplay and all the stuff especially the characters you can. Gamble all you want but it takes time BUTTT it's still a very good game!! 5 star for sure ( give me furina ),5
"I like the setup and the way it plays, but I stopped playing for 2 weeks, and it logged me out . Every time I log in, it restarted my progress. 4 months of progress gone.",4
"Sadly me with no money have no more time left hopes for the future, the game takes too much storage and the dev's had no idea how to solve the issue.",3
Nice 💯,5
Better anniversary rewards,5
"Optimise It, Worst Experience in Snapdragon 778g 5g, DEVICE -: Vivo IQOO z5",3
Love it 😽,3
"i love this game so much that i even bought a phone that's compatible for this game. but as someone who's busy with work, the unskipable cutscene is so annoying. please make it possible to skip it. i got no time to listen to the boring storyline. i just want to play",2
"THIS IS JS AMAZINGG, i luv the details and all but the gravity of the womens anatomy was just...yk but anw its amazing and good!",5
Game is good but I can't get any 5 star characters for free. And primogems are very costly . After spending money it's still very difficult to get 5 star characters and still i am mot getting any 5 star character after almost 30 pulls of 10 wish,2
"Spent like $100 and didn't get a 5-star.... Terrible rates, boring game.",1
"Awesome game but i logged out a few days ago and now its no longer letting me log back in (i put in my details it loads for a moment and then nothing happens and takes me back to the login screen) ive tried logging in other accounts and its not working for them aswell, im honestly so upset i dont want to have to start a whole new account",3
"flop, trash pity system",1
Would be better if the developers actually listened to their community..,3
This game is great but it’s take to much storage and this game need a high and device low and device cant handle the game,5
